Restaurant Name,Country Code,City,Locality,Cuisines,cost,Has Table booking,Has Online delivery,Price range,rating,votes
Baked and Wrapped,1,New Delhi,INA,"['Bakery', 'Desserts']",500,No,No,2,3.1,5
M.D. Kitchen,1,New Delhi,INA,"['North Indian', 'Mughlai', 'Chinese', 'South Indian']",600,No,Yes,2,2.6,30
Kerala Hotel,1,New Delhi,INA,"['Kerala', 'Biryani']",400,No,No,1,3.9,108
M.P. Canteen,1,New Delhi,India Gate,"['South Indian', 'North Indian', 'Chinese', 'Mughlai']",350,No,No,1,3.1,13
Mysore Cafe,1,New Delhi,India Gate,['South Indian'],200,No,No,1,3.2,12
Maharashtra Sadan,1,New Delhi,India Gate,"['North Indian', 'Maharashtrian']",300,No,No,1,3.8,266
Abhishek Restaurant,1,New Delhi,IP Extension,"['North Indian', 'Chinese']",400,No,No,1,2.9,36
AL Maroosh,1,New Delhi,IP Extension,"['North Indian', 'Mughlai', 'Chinese']",500,No,No,2,2.8,20
Ambarsari Kababs & Curries,1,New Delhi,IP Extension,"['North Indian', 'Chinese']",400,No,No,1,3.0,4
Ambrosia - The Golden Palms Hotel,1,New Delhi,IP Extension,"['North Indian', 'Continental']",1500,Yes,No,3,2.8,68
Bala's Kitchen,1,New Delhi,IP Extension,['South Indian'],300,No,No,1,2.9,4
Cafe Meadows,1,New Delhi,IP Extension,"['Fast Food', 'Desserts']",200,No,No,1,3.1,26
Dee The Baker,1,New Delhi,IP Extension,['Bakery'],300,No,Yes,1,3.4,11
Dilli Darbaar,1,New Delhi,IP Extension,['Street Food'],100,No,No,1,3.1,18
Finger Licious,1,New Delhi,IP Extension,"['Bakery', 'Fast Food']",200,No,Yes,1,3.2,137
Garden Hut,1,New Delhi,IP Extension,['Chinese'],450,No,No,1,2.7,8
Hari Mirch Masala,1,New Delhi,IP Extension,"['North Indian', 'Chinese']",350,No,Yes,1,2.8,101
Kamal's,1,New Delhi,IP Extension,"['North Indian', 'South Indian', 'Chinese', 'Fast Food']",550,No,Yes,2,2.8,103
Kocktails & Kurries,1,New Delhi,IP Extension,"['North Indian', 'Chinese']",950,Yes,Yes,2,3.1,94
Madras Cafe,1,New Delhi,IP Extension,['South Indian'],150,No,No,1,3.2,22
Mahalaxmi Dairy & Sweets,1,New Delhi,IP Extension,"['Mithai', 'Street Food']",100,No,No,1,2.6,16
Meet n Eat,1,New Delhi,IP Extension,"['North Indian', 'Fast Food', 'Chinese']",450,No,No,1,2.7,56
Punjabi Mirchi,1,New Delhi,IP Extension,"['North Indian', 'Mughlai', 'Chinese']",650,No,No,2,3.3,49
The Garam Masala,1,New Delhi,IP Extension,"['North Indian', 'Chinese']",400,No,Yes,1,3.4,60
Unique Pastry Shop,1,New Delhi,IP Extension,['Bakery'],200,No,Yes,1,3.4,86
Vaishno Amritsari Dhaba,1,New Delhi,IP Extension,['North Indian'],350,No,Yes,1,3.2,51
Zara Restaurant,1,New Delhi,IP Extension,"['North Indian', 'Mughlai']",400,No,Yes,1,3.3,24
Bhatia Sweets,1,New Delhi,IP Extension,"['Mithai', 'South Indian', 'Street Food']",150,No,No,1,3.5,97
De Cafepedia,1,New Delhi,IP Extension,"['Fast Food', 'Chinese']",250,No,Yes,1,3.5,60
Icy Curls,1,New Delhi,IP Extension,"['Desserts', 'Ice Cream']",300,No,Yes,1,3.7,25
Chutneez Restaurant Lounge & Bar,1,New Delhi,IP Extension,"['North Indian', 'Chinese', 'Mughlai']",1200,Yes,Yes,3,2.4,124
Domino's Pizza,1,New Delhi,IP Extension,"['Pizza', 'Fast Food']",700,No,No,2,2.4,113
Mangal Sweets,1,New Delhi,IP Extension,"['North Indian', 'Chinese', 'South Indian', 'Street Food', 'Mithai']",400,No,Yes,1,2.4,166
Sweet Tickles,1,New Delhi,IP Extension,"['Bakery', 'Desserts']",500,No,No,2,4.1,71
Ira - The Waterside Bar - ITC Maurya,1,New Delhi,"ITC Maurya, Chanakyapuri",['Finger Food'],2000,No,No,4,3.2,17
Nutmeg The Gourmet Shop - ITC Maurya,1,New Delhi,"ITC Maurya, Chanakyapuri","['Bakery', 'Desserts']",1000,No,No,3,3.4,25
Fabelle Chocolate Boutique - ITC Maurya,1,New Delhi,"ITC Maurya, Chanakyapuri","['Desserts', 'Ice Cream']",1200,No,No,3,3.8,20
Golf Bar - ITC Maurya,1,New Delhi,"ITC Maurya, Chanakyapuri",['Drinks Only'],3500,No,No,4,3.5,45
Ashish Lal Dhaba,1,New Delhi,ITO,['North Indian'],400,No,No,1,3.2,26
Lal Dhaba,1,New Delhi,ITO,['North Indian'],200,No,No,1,3.1,10
McDonald's,1,New Delhi,ITO,"['Fast Food', 'Burger']",500,No,No,2,3.2,25
Udupi Cafe,1,New Delhi,ITO,"['South Indian', 'Chinese']",300,No,No,1,3.5,117
"34, Chowringhee Lane",1,New Delhi,Jail Road,['Fast Food'],350,No,No,1,2.7,11
Amritsar Express,1,New Delhi,Jail Road,['Fast Food'],100,No,No,1,3.1,6
Anand Chicken & Fast Food,1,New Delhi,Jail Road,"['Chinese', 'Fast Food']",400,No,No,1,2.8,9
Baba Chicken Ludhiana Wale,1,New Delhi,Jail Road,['North Indian'],300,No,Yes,1,3.1,7
Bombay Vada Pav,1,New Delhi,Jail Road,['Street Food'],150,No,No,1,2.8,41
Cafe Coffee Day,1,New Delhi,Jail Road,['Cafe'],450,No,No,1,3.1,5
Chin Pokli,1,New Delhi,Jail Road,['Chinese'],400,No,No,1,3.1,13
Curries,1,New Delhi,Jail Road,"['Chinese', 'Mughlai', 'North Indian']",600,No,Yes,2,2.7,6
Deepak Vaishno Dhaba,1,New Delhi,Jail Road,['North Indian'],350,No,No,1,3.4,59
Delhi Dhaba,1,New Delhi,Jail Road,['North Indian'],300,No,No,1,3.1,15
Dewan Sweets,1,New Delhi,Jail Road,"['Desserts', 'Street Food']",100,No,Yes,1,3.3,18
Flirty Momo's,1,New Delhi,Jail Road,['Chinese'],350,No,Yes,1,3.1,37
Frontier,1,New Delhi,Jail Road,['Bakery'],200,No,No,1,3.2,14
Giani,1,New Delhi,Jail Road,"['Ice Cream', 'Desserts']",400,No,No,1,3.0,6
Green Chick Chop,1,New Delhi,Jail Road,"['Raw Meats', 'North Indian', 'Fast Food']",350,No,No,1,3.3,60
Khalsa Veg Corner,1,New Delhi,Jail Road,"['North Indian', 'Fast Food']",300,No,No,1,3.4,22
Kings Kulfi,1,New Delhi,Jail Road,['Ice Cream'],150,No,No,1,3.3,10
Kohli Dhaba,1,New Delhi,Jail Road,['North Indian'],600,No,Yes,2,3.4,74
Laxmi Ice Cream,1,New Delhi,Jail Road,"['Ice Cream', 'Desserts']",200,No,No,1,3.4,25
Mosaic - SK Premium Park,1,New Delhi,Jail Road,"['North Indian', 'Chinese', 'Continental']",2500,Yes,No,4,2.9,14
Moti Mahal Delux,1,New Delhi,Jail Road,"['North Indian', 'Chinese']",800,Yes,Yes,2,2.7,12
Mukesh Chic-Inn Hot & Spice,1,New Delhi,Jail Road,['Mughlai'],400,No,Yes,1,3.0,9
Muradabadi Biryani,1,New Delhi,Jail Road,['Hyderabadi'],300,No,No,1,2.6,18
Muradabadi Shahi Biryani & Chicken Corner,1,New Delhi,Jail Road,"['North Indian', 'Biryani']",450,No,No,1,3.3,68
Nagi Fish Corner,1,New Delhi,Jail Road,['North Indian'],250,No,No,1,3.1,7
Nirula's Ice Cream,1,New Delhi,Jail Road,"['Desserts', 'Ice Cream']",250,No,No,1,3.0,4
Papa Veg Chinese Food,1,New Delhi,Jail Road,"['Chinese', 'Fast Food']",400,No,Yes,1,2.9,33
Pindi's Kitchen,1,New Delhi,Jail Road,['Mughlai'],450,No,No,1,3.3,11
Rewari Sweets,1,New Delhi,Jail Road,['Mithai'],400,No,No,1,3.2,5
Roti Aur Boti,1,New Delhi,Jail Road,['Fast Food'],100,No,No,1,3.2,38
Sahni Chicken Corner,1,New Delhi,Jail Road,"['North Indian', 'Mughlai']",500,No,Yes,2,3.2,23
Sarpal Restaurant,1,New Delhi,Jail Road,"['North Indian', 'Mughlai']",550,No,No,2,3.1,14
SGF - Spice Grill Flame,1,New Delhi,Jail Road,"['North Indian', 'Chinese']",500,No,No,2,2.9,8
Shanta Fresh Fish Corner,1,New Delhi,Jail Road,['North Indian'],400,No,No,1,3.1,9
Shree Meenakshi Dosai,1,New Delhi,Jail Road,['South Indian'],250,No,No,1,2.9,8
Singz,1,New Delhi,Jail Road,"['North Indian', 'Chinese']",600,No,Yes,2,2.9,57
Sona Bakers,1,New Delhi,Jail Road,['Bakery'],200,No,No,1,3.4,17
Tak - a - Tak,1,New Delhi,Jail Road,['North Indian'],300,No,No,1,3.3,14
The Great Indian Food Truck,1,New Delhi,Jail Road,"['Chinese', 'Mexican', 'Italian']",250,No,No,1,3.0,6
Tihar Food Court,1,New Delhi,Jail Road,['Fast Food'],300,No,No,1,2.9,14
Uncle Da Dhabha,1,New Delhi,Jail Road,['North Indian'],200,No,No,1,3.0,6
Variety Chicken Corner,1,New Delhi,Jail Road,['North Indian'],450,No,No,1,2.9,16
Wah Ji Wah,1,New Delhi,Jail Road,"['Mughlai', 'Chinese']",450,No,Yes,1,2.5,9
9 Scoops,1,New Delhi,Jail Road,['Ice Cream'],300,No,No,1,3.6,33
Kati Roll Cottage,1,New Delhi,Jail Road,['Fast Food'],200,No,Yes,1,3.5,14
Pul Bangash Wale,1,New Delhi,Jail Road,"['North Indian', 'Mughlai']",300,No,No,1,3.7,89
Sunny Chicken Soup,1,New Delhi,Jail Road,['North Indian'],200,No,No,1,3.6,75
Yo Momos,1,New Delhi,Jail Road,"['Chinese', 'North Indian']",300,No,Yes,1,3.7,29
Grillz,1,New Delhi,Jail Road,['Fast Food'],500,No,Yes,2,2.2,19
The Barbeque Company,1,New Delhi,Jail Road,"['North Indian', 'Chinese', 'Continental']",1200,No,No,3,4.2,621
Anmol Chicken Corner,1,New Delhi,Jama Masjid,['North Indian'],400,No,No,1,3.1,7
Babu Bhai Kabab Wale,1,New Delhi,Jama Masjid,['Mughlai'],200,No,No,1,3.4,12
Chicken Mughlai,1,New Delhi,Jama Masjid,"['North Indian', 'Mughlai']",350,No,No,1,3.0,6
Cool Point Shahi Tukda,1,New Delhi,Jama Masjid,"['Desserts', 'Beverages']",100,No,No,1,3.1,5
Jawahar Hotel,1,New Delhi,Jama Masjid,"['North Indian', 'Mughlai']",500,No,No,2,3.4,40
Lalu Kababe,1,New Delhi,Jama Masjid,['Mughlai'],200,No,No,1,3.2,13
Phelwan Biryani Wala,1,New Delhi,Jama Masjid,['Mughlai'],150,No,No,1,3.0,5
Qureshi Kabab Corner,1,New Delhi,Jama Masjid,['Mughlai'],300,No,No,1,3.0,5
Al Jawahar,1,New Delhi,Jama Masjid,"['Mughlai', 'North Indian']",600,No,No,2,3.8,1585
Aslam Chicken,1,New Delhi,Jama Masjid,['Mughlai'],400,No,No,1,3.9,635
Dil Pasand Biryani Point,1,New Delhi,Jama Masjid,['Biryani'],200,No,No,1,3.5,12
Haji Mohd. Hussain,1,New Delhi,Jama Masjid,['Mughlai'],300,No,No,1,3.6,22
Kallan Sweets,1,New Delhi,Jama Masjid,['Mithai'],100,No,No,1,3.8,75
The Walled City - Cafí© & Lounge,1,New Delhi,Jama Masjid,"['Continental', 'North Indian', 'Mughlai', 'Chinese']",700,No,No,2,3.8,40
Cool Point,1,New Delhi,Jama Masjid,"['Desserts', 'Beverages']",100,No,No,1,4.2,69
Haji Shabrati Nihari Wale,1,New Delhi,Jama Masjid,['Mughlai'],200,No,No,1,4.0,115
Karim's,1,New Delhi,Jama Masjid,"['Mughlai', 'North Indian']",800,No,No,2,4.0,4689
Qureshi Kabab Corner,1,New Delhi,Jama Masjid,['Mughlai'],200,No,No,1,4.3,76
Bake Bikaner,1,New Delhi,Janakpuri,"['North Indian', 'South Indian', 'Chinese', 'Street Food']",500,No,Yes,2,3.3,86
Barista,1,New Delhi,Janakpuri,['Cafe'],650,No,Yes,2,3.3,74
Behrouz Biryani,1,New Delhi,Janakpuri,['Biryani'],600,No,Yes,2,3.4,49
Brunchilli,1,New Delhi,Janakpuri,"['North Indian', 'Chinese']",800,No,Yes,2,3.2,84
Cafe Coffee Day,1,New Delhi,Janakpuri,['Cafe'],450,No,No,1,3.4,50
Chawla Dillivala,1,New Delhi,Janakpuri,"['North Indian', 'Chinese']",600,No,No,2,2.7,91
Dhaba Ambarsariya,1,New Delhi,Janakpuri,"['North Indian', 'Chinese']",700,Yes,Yes,2,3.3,23
Domino's Pizza,1,New Delhi,Janakpuri,"['Pizza', 'Fast Food']",700,No,No,2,3.4,88
GPW - The Food Hub,1,New Delhi,Janakpuri,"['North Indian', 'Chinese']",400,No,Yes,1,3.0,70
Green Bhojanalya,1,New Delhi,Janakpuri,['North Indian'],400,No,Yes,1,3.2,96
Hira Sweets,1,New Delhi,Janakpuri,"['North Indian', 'South Indian', 'Street Food', 'Fast Food', 'Mithai']",600,No,No,2,2.5,85
Hot Curries,1,New Delhi,Janakpuri,"['North Indian', 'Mughlai', 'Chinese']",700,No,Yes,2,3.4,60
Meenu Caterers,1,New Delhi,Janakpuri,"['North Indian', 'Chinese']",600,No,Yes,2,2.7,82
Moti Mahal Delux,1,New Delhi,Janakpuri,"['North Indian', 'Mughlai', 'Chinese']",1000,Yes,Yes,3,2.6,105
New Kadimi,1,New Delhi,Janakpuri,"['North Indian', 'South Indian', 'Chinese', 'Fast Food']",600,No,Yes,2,2.5,162
Polka Pastry & Snack Bar,1,New Delhi,Janakpuri,"['Bakery', 'Fast Food']",350,No,No,1,3.2,62
Pudding & Pie,1,New Delhi,Janakpuri,"['Bakery', 'Fast Food']",450,No,No,1,3.4,66
Singz,1,New Delhi,Janakpuri,"['North Indian', 'Chinese']",700,No,No,2,2.5,46
Slice of Italy,1,New Delhi,Janakpuri,"['Italian', 'Pizza', 'Bakery']",700,No,Yes,2,3.4,198
Subway,1,New Delhi,Janakpuri,"['American', 'Fast Food', 'Salad', 'Healthy Food']",500,No,Yes,2,3.1,69
Suruchee,1,New Delhi,Janakpuri,"['Bengali', 'North Indian']",500,No,Yes,2,3.4,52
The Bubble Tea Cafe,1,New Delhi,Janakpuri,['Cafe'],600,No,Yes,2,3.0,182
The Destination,1,New Delhi,Janakpuri,"['Chinese', 'Mughlai']",1400,Yes,Yes,3,3.3,85
The Night Delights,1,New Delhi,Janakpuri,"['North Indian', 'Chinese']",800,No,Yes,2,3.4,102
Tingling Pepper,1,New Delhi,Janakpuri,"['North Indian', 'Chinese', 'Continental', 'Fast Food']",400,No,Yes,1,3.4,69
Wah G Wah,1,New Delhi,Janakpuri,"['North Indian', 'Chinese']",450,No,Yes,1,2.7,37
Midnight Hunger Hub,1,New Delhi,Janakpuri,"['North Indian', 'Fast Food', 'Italian', 'Asian']",800,No,Yes,2,4.5,50
BarShala,1,New Delhi,Janakpuri,['Finger Food'],600,No,No,2,3.5,40
Bemisaal Reloaded,1,New Delhi,Janakpuri,"['North Indian', 'Chinese']",1250,No,Yes,3,3.8,128
Bon Appí©tit,1,New Delhi,Janakpuri,['Fast Food'],350,No,Yes,1,3.8,212
Burger Point,1,New Delhi,Janakpuri,"['Burger', 'Fast Food']",300,No,No,1,3.6,164
Cakes 'n' Crumbs,1,New Delhi,Janakpuri,['Bakery'],400,No,Yes,1,3.6,70
China Fort,1,New Delhi,Janakpuri,"['Chinese', 'North Indian', 'Thai']",700,No,Yes,2,3.5,74
Giani,1,New Delhi,Janakpuri,"['Ice Cream', 'Desserts']",400,No,Yes,1,3.5,33
Hot Cherries,1,New Delhi,Janakpuri,['Bakery'],400,No,No,1,3.6,116
KFC,1,New Delhi,Janakpuri,"['American', 'Fast Food']",500,No,Yes,2,3.5,62
McDonald's,1,New Delhi,Janakpuri,"['Fast Food', 'Burger']",500,No,Yes,2,3.6,179
Pasta Xpress,1,New Delhi,Janakpuri,"['Italian', 'Fast Food']",700,No,Yes,2,3.6,56
Tandoor Bar-Be-Que,1,New Delhi,Janakpuri,"['North Indian', 'Mughlai']",600,No,Yes,2,3.5,131
TBK Kulcha's,1,New Delhi,Janakpuri,"['Fast Food', 'Street Food']",300,No,Yes,1,3.6,155
The Pindi,1,New Delhi,Janakpuri,"['North Indian', 'Chinese', 'Mughlai']",1300,Yes,Yes,3,3.5,100
The Tangy Tomatoes,1,New Delhi,Janakpuri,"['Italian', 'Chinese', 'Fast Food', 'North Indian']",400,No,Yes,1,3.7,32
Thela,1,New Delhi,Janakpuri,"['North Indian', 'Fast Food', 'Chinese']",500,No,Yes,2,3.5,87
Wah Ji Wah,1,New Delhi,Janakpuri,"['North Indian', 'Chinese']",450,Yes,Yes,1,3.7,61
Muffins,1,New Delhi,Janakpuri,"['Bakery', 'Fast Food']",250,No,No,1,1.9,66
Food Scouts,1,New Delhi,Janakpuri,"['North Indian', 'Chinese', 'Continental']",700,No,Yes,2,4.3,22
Aggarwal Sweet India,1,New Delhi,Jangpura,"['Mithai', 'Street Food']",150,No,No,1,2.8,15
Bhola Dhaba,1,New Delhi,Jangpura,['North Indian'],300,No,Yes,1,2.8,30
Cake Me Up,1,New Delhi,Jangpura,['Bakery'],400,No,No,1,3.1,7
Chawla Snacks,1,New Delhi,Jangpura,['North Indian'],250,No,No,1,2.9,4
Chef Joint,1,New Delhi,Jangpura,"['North Indian', 'Chinese']",400,No,Yes,1,3.2,45
China Hut,1,New Delhi,Jangpura,['Chinese'],400,No,Yes,1,3.0,16
Chinese Hut,1,New Delhi,Jangpura,"['Chinese', 'Fast Food']",450,No,Yes,1,2.8,5
Curries & Kebabs,1,New Delhi,Jangpura,"['North Indian', 'Mughlai', 'Chinese']",500,No,Yes,2,2.7,7
Giani's,1,New Delhi,Jangpura,"['Ice Cream', 'Desserts']",400,No,No,1,3.1,9
Green Chick Chop,1,New Delhi,Jangpura,"['Raw Meats', 'North Indian', 'Fast Food']",350,No,No,1,3.1,15
Kabul Restaurant,1,New Delhi,Jangpura,"['Mughlai', 'Afghani']",450,No,No,1,2.8,25
Kadimi Dukan,1,New Delhi,Jangpura,"['Street Food', 'Mithai']",200,No,No,1,3.2,10
Kadimi Sweets,1,New Delhi,Jangpura,"['Mithai', 'Street Food']",200,No,No,1,3.1,42
McDonald's,1,New Delhi,Jangpura,"['Fast Food', 'Burger']",500,No,Yes,2,3.4,62
Modi Pastry Corner,1,New Delhi,Jangpura,"['Bakery', 'Fast Food']",100,No,No,1,2.6,17
New Evergreen Hotel,1,New Delhi,Jangpura,"['North Indian', 'Mughlai']",450,No,No,1,2.9,7
Nikku Hotel,1,New Delhi,Jangpura,"['North Indian', 'Chinese', 'Fast Food']",500,No,Yes,2,2.6,9
Om Hotel,1,New Delhi,Jangpura,"['North Indian', 'Mughlai', 'South Indian']",600,No,No,2,3.3,140
Pakeeza Burger,1,New Delhi,Jangpura,"['North Indian', 'Afghani']",600,No,No,2,2.6,15
Paljees Fresh Baked,1,New Delhi,Jangpura,"['Bakery', 'Desserts', 'Fast Food']",200,No,No,1,3.1,16
Pinka's Rasoi,1,New Delhi,Jangpura,['North Indian'],500,No,Yes,2,3.1,21
Republic of Chicken,1,New Delhi,Jangpura,"['Raw Meats', 'Fast Food']",400,No,No,1,2.8,5
Sandwich & Sons,1,New Delhi,Jangpura,['Fast Food'],500,No,Yes,2,3.2,24
Simple Restaurant,1,New Delhi,Jangpura,"['North Indian', 'Chinese']",500,No,No,2,3.0,15
Subway,1,New Delhi,Jangpura,"['American', 'Fast Food', 'Salad', 'Healthy Food']",500,No,Yes,2,3.3,78
Tempting Bar-B-Que,1,New Delhi,Jangpura,"['North Indian', 'Chinese']",650,No,Yes,2,3.3,29
The Biryani Hut,1,New Delhi,Jangpura,['Biryani'],400,No,No,1,2.9,5
Beliram Degchiwala,1,New Delhi,Jangpura,"['North Indian', 'Mughlai']",900,No,Yes,2,3.5,107
Instapizza,1,New Delhi,Jangpura,"['Pizza', 'Fast Food']",900,No,Yes,2,3.9,55
Janta Bakery,1,New Delhi,Jangpura,"['Bakery', 'Fast Food']",150,No,No,1,3.6,32
Pal Refreshment Corner,1,New Delhi,Jangpura,"['North Indian', 'Chinese']",500,No,Yes,2,3.5,32
Transform Nutrition,1,New Delhi,Jangpura,"['Healthy Food', 'Continental']",400,No,No,1,3.5,19
Chawla's_,1,New Delhi,Jangpura,"['North Indian', 'Mughlai']",800,Yes,Yes,2,2.3,126
Barbeque Nation,1,New Delhi,Jangpura,"['North Indian', 'Chinese']",1600,No,No,3,4.0,744
Novelty Dairy & Stores,1,New Delhi,Jangpura,['Fast Food'],200,No,No,1,4.1,352
Caara Cafe,1,New Delhi,Janpath,"['Cafe', 'European']",600,No,No,2,3.3,59
Cafe Coffee Day - The Lounge,1,New Delhi,Janpath,['Cafe'],750,No,No,2,3.3,81
Cafe Coffee Day,1,New Delhi,Janpath,['Cafe'],450,No,No,1,3.1,34
Costa Coffee,1,New Delhi,Janpath,['Cafe'],600,No,No,2,3.4,31
Gulnar - Hotel Janpath,1,New Delhi,Janpath,"['North Indian', 'Chinese']",2000,Yes,No,4,3.2,40
Kalpana Restaurant,1,New Delhi,Janpath,"['North Indian', 'Chinese', 'Mughlai']",500,No,Yes,2,3.2,40
Meenas,1,New Delhi,Janpath,"['North Indian', 'Chinese']",550,No,No,2,2.9,7
Pizza Hut,1,New Delhi,Janpath,"['Italian', 'Pizza', 'Fast Food']",1000,No,Yes,3,3.4,116
Prince Chaat Corner,1,New Delhi,Janpath,['Street Food'],150,No,No,1,3.2,12
Rajeev Restaurant,1,New Delhi,Janpath,['North Indian'],200,No,No,1,3.0,5
RSVP,1,New Delhi,Janpath,['Finger Food'],3000,No,No,4,2.7,16
Samridhi,1,New Delhi,Janpath,"['Kerala', 'South Indian']",350,No,No,1,3.2,85
Shan E Dilli,1,New Delhi,Janpath,['North Indian'],400,No,No,1,3.0,7
Svasti Cafe,1,New Delhi,Janpath,"['North Indian', 'Fast Food', 'Bihari']",800,Yes,No,2,3.1,6
The Zest,1,New Delhi,Janpath,"['North Indian', 'Continental']",1100,Yes,No,3,3.2,11
Bhogal Chole Bhature Wala,1,New Delhi,Janpath,['Street Food'],150,No,No,1,3.8,47
Bunta Bar,1,New Delhi,Janpath,"['Modern Indian', 'North Indian']",1200,Yes,No,3,3.9,450
Cafe Coffee Day The Square,1,New Delhi,Janpath,['Cafe'],700,No,No,2,3.7,49
Cottage Cafí© by Smoothie factory,1,New Delhi,Janpath,"['Cafe', 'Desserts', 'Healthy Food', 'Juices']",650,No,Yes,2,3.7,223
Depaul's,1,New Delhi,Janpath,['Fast Food'],200,No,No,1,3.7,475
Fresc Co,1,New Delhi,Janpath,"['Italian', 'Mediterranean']",1900,Yes,Yes,3,3.8,1347
Informal,1,New Delhi,Janpath,"['North Indian', 'Spanish', 'Mediterranean']",1200,Yes,No,3,3.9,555
Lutyens Cocktail House,1,New Delhi,Janpath,"['North Indian', 'Lebanese', 'European', 'Mexican']",2100,Yes,No,4,3.9,299
McDonald's,1,New Delhi,Janpath,"['Fast Food', 'Burger']",500,No,Yes,2,3.8,158
Office Office,1,New Delhi,Janpath,"['North Indian', 'Continental']",1200,No,No,3,3.9,291
Pappu Chat Bhandar,1,New Delhi,Janpath,['Street Food'],150,No,No,1,3.5,19
The Beer Cafe,1,New Delhi,Janpath,"['Finger Food', 'North Indian']",1250,Yes,No,3,3.6,1058
The Masala Trail,1,New Delhi,Janpath,"['North Indian', 'South Indian', 'Street Food']",800,Yes,Yes,2,3.9,303
52 Janpath,1,New Delhi,Janpath,"['American', 'Italian', 'North Indian', 'European', 'Thai']",1550,Yes,No,3,4.2,361
Cafe Southall,1,New Delhi,Janpath,"['North Indian', 'Italian', 'Continental', 'Asian']",1350,Yes,No,3,4.2,162
Saravana Bhavan,1,New Delhi,Janpath,['South Indian'],500,No,Yes,2,4.2,1869
Tourist Janpath,1,New Delhi,Janpath,"['North Indian', 'American', 'Chinese']",2000,Yes,No,4,4.1,501
Cafe Coffee Day,1,New Delhi,Jasola,['Cafe'],450,No,No,1,3.1,23
Cafe Punjabi,1,New Delhi,Jasola,['North Indian'],300,No,No,1,3.3,33
Chai Garam,1,New Delhi,Jasola,"['Beverages', 'Fast Food']",300,No,No,1,2.9,6
Chai Shots,1,New Delhi,Jasola,"['Beverages', 'Fast Food']",200,No,No,1,3.0,15
Chao Cart,1,New Delhi,Jasola,['Chinese'],400,No,No,1,3.1,4
Deli Belly,1,New Delhi,Jasola,"['North Indian', 'Italian', 'Continental']",1000,Yes,No,3,2.6,49
Ego,1,New Delhi,Jasola,"['Continental', 'Italian']",800,Yes,No,2,3.3,14
Fresh n Refresh,1,New Delhi,Jasola,['Fast Food'],500,No,No,2,2.8,22
Jack Po!tato's,1,New Delhi,Jasola,['Fast Food'],150,No,No,1,3.3,15
Moti Mahal Delux,1,New Delhi,Jasola,"['North Indian', 'Mughlai']",950,Yes,Yes,2,2.8,26
Pizza Hut Delivery,1,New Delhi,Jasola,"['Italian', 'Pizza', 'Fast Food']",800,No,Yes,2,2.5,47
Riviera,1,New Delhi,Jasola,"['Continental', 'North Indian', 'Chinese', 'Mughlai', 'Asian']",1000,Yes,No,3,3.2,8
Subway,1,New Delhi,Jasola,"['American', 'Fast Food', 'Salad', 'Healthy Food']",500,No,Yes,2,2.8,67
Tamura,1,New Delhi,Jasola,['Japanese'],1500,Yes,No,3,3.3,19
ANF Kitchen Express,1,New Delhi,Jasola,"['North Indian', 'Fast Food']",450,No,No,1,3.5,49
Mumu Dahlin,1,New Delhi,Jasola,"['Continental', 'North Indian', 'Chinese', 'Cafe']",1000,Yes,No,3,3.8,92
Startup Cafe,1,New Delhi,Jasola,['Cafe'],500,No,Yes,2,3.7,78
Starvin' Marvin,1,New Delhi,Jasola,"['Italian', 'Mexican', 'Lebanese', 'Continental']",600,No,Yes,2,3.8,170
Wok On Wheels,1,New Delhi,Jasola,['Chinese'],550,No,Yes,2,3.8,80
Sagar Ratna,1,New Delhi,Jasola,"['South Indian', 'North Indian', 'Chinese']",600,No,Yes,2,2.4,76
Paatra - Jaypee Siddharth,1,New Delhi,"Jaypee Siddharth, Rajendra Place",['North Indian'],3500,Yes,No,4,3.4,120
Eggspectation - Jaypee Siddharth,1,New Delhi,"Jaypee Siddharth, Rajendra Place","['European', 'Continental', 'North Indian']",3000,Yes,No,4,3.5,202
Ano Tai - Jaypee Vasant Continental,1,New Delhi,"Jaypee Vasant Continental, Vasant Vihar",['Chinese'],2500,Yes,No,4,3.4,64
Tapas - Jaypee Vasant Continental,1,New Delhi,"Jaypee Vasant Continental, Vasant Vihar",['North Indian'],3000,Yes,No,4,3.2,24
The Old Baker - Jaypee Vasant Continental,1,New Delhi,"Jaypee Vasant Continental, Vasant Vihar",['Bakery'],500,No,No,2,3.3,17
Eggspectation - Jaypee Vasant Continental,1,New Delhi,"Jaypee Vasant Continental, Vasant Vihar","['European', 'Continental', 'North Indian']",3000,Yes,No,4,3.6,162
Paatra - Jaypee Vasant Continental,1,New Delhi,"Jaypee Vasant Continental, Vasant Vihar","['North Indian', 'Mughlai']",2500,Yes,No,4,3.5,79
Ambarsaria by Gourmet Affaire's,1,New Delhi,"JMD Kohinoor Mall, Greater Kailash",['Fast Food'],400,No,Yes,1,3.1,43
August Moon,1,New Delhi,"JMD Kohinoor Mall, Greater Kailash","['Chinese', 'Thai']",1250,Yes,Yes,3,2.8,142
Keventers,1,New Delhi,"JMD Kohinoor Mall, Greater Kailash",['Beverages'],400,No,No,1,3.3,10
Moets Curry Leaf Express,1,New Delhi,"JMD Kohinoor Mall, Greater Kailash","['North Indian', 'Mughlai']",900,Yes,Yes,2,3.2,23
